,0,1,2,3,4,5
Gender,1.49,1.31,1.65,1.48,1.84,1.45
Age,33.71,50.01,46.24,69.93,42.93,57.96
X60-sec-pulse,71.63,72.56,75.89,69.11,75.93,78.59
Systolic,111.57,123.13,125.22,142.86,116.53,132.46
Diastolic,67.13,73.95,72.16,69.16,68.45,69.65
Body-Mass-Index,25.11,28.28,40.99,27.49,28.26,31.74
White-Blood-Cells,6.93,7.29,7.89,6.84,7.95,7.79
Lymphocyte,31.17,30.4,30.1,29.25,30.02,29.3
Monocyte,7.91,7.95,7.46,8.55,7.38,7.26
Eosinophils,2.73,2.9,2.76,3.04,2.67,2.76
Basophils,0.67,0.71,0.71,0.71,0.73,0.69
Red-Blood-Cells,4.7,4.95,4.68,4.51,4.4,4.74
Hemoglobin,14.31,15.25,13.76,13.84,12.85,14.16
Mean-Cell-Vol,89.72,90.59,87.35,91.09,87.07,88.37
Mean-cell-Hemoglobin,34.0,34.07,33.74,33.82,33.7,33.85
Platelet-count,230.87,248.88,263.18,222.45,345.7,244.7
Mean-Platelet-Vol,8.32,8.15,8.31,8.26,7.75,8.47
Red-Cell-Distribution-Width,12.71,12.78,13.51,13.32,13.51,13.21
Albumin,43.65,43.68,40.68,42.04,41.23,40.92
ALP,63.97,72.36,73.85,73.27,71.48,85.8
AST,24.58,28.06,25.44,26.18,23.29,27.82
ALT,23.98,30.94,27.69,22.85,21.9,30.86
Cholesterol,4.43,6.16,4.76,4.86,5.22,5.21
Creatinine,74.37,79.68,75.39,89.78,68.28,85.46
Glucose,4.87,5.3,5.69,5.73,5.07,14.49
GGT,22.37,37.34,30.99,29.99,25.28,44.32
Iron,16.5,17.27,12.71,14.96,12.61,14.16
LDH,122.99,133.89,137.17,140.59,128.3,133.4
Phosphorus,1.21,1.2,1.19,1.19,1.24,1.18
Bilirubin,12.41,12.81,10.29,12.13,9.88,11.28
Protein,72.14,72.65,71.41,71.6,72.18,72.1
Uric.Acid,298.08,345.08,350.16,336.85,285.91,308.9
Triglycerides,1.23,2.22,1.75,1.6,1.6,2.89
HDL,1.39,1.36,1.23,1.41,1.45,1.17
Glycohemoglobin,5.23,5.54,5.84,5.84,5.48,9.47
Vigorous-work,1.7,1.73,1.82,1.89,1.8,1.88
Moderate-work,1.55,1.55,1.62,1.67,1.61,1.71
Diabetes,1.99,1.97,1.85,1.85,1.95,1.23
Blood-Rel-Diabetes,1.62,1.57,1.42,1.57,1.51,1.28
Blood-Rel-Stroke,1.82,1.8,1.75,1.82,1.76,1.77
CoronaryHeartDisease,0.01,0.02,0.03,0.1,0.02,0.1
